open_date,open_date,,close_date,,,,position,open_reason,close_reason,open_price,close_price,open_fee,close_fee,open_trade_size,close_trade_size,wallet,trade_result,trade_result_pct,trade_result_pct_wallet,wallet_ath,drawdown,drawdown_pct
2018-04-19 00:00:00+00:00,2018-04-19 00:00:00+00:00,2018-04-19,2018-05-11 00:00:00+00:00,2018-05-11,,,LONG,Market,Market," 8,294.31 "," 8,441.49 ", 0.70 , 0.72 , 999.30 ," 1,034.04 "," 1,034.04 ", 34.04 ,3.4%, 0.03 ," 1,034.04 ", -   , -   
2018-06-12 00:00:00+00:00,2018-06-12 00:00:00+00:00,2018-06-12,2018-07-02 00:00:00+00:00,2018-07-02,32,52,SHORT,Market,Market," 6,582.36 "," 6,614.18 ", 0.72 , 0.72 ," 1,033.32 "," 1,027.60 "," 1,027.60 ",-6.44 ,-0.6%,-0.01 ," 1,034.04 ", 6.44 , 0.01 
2018-07-12 00:00:00+00:00,2018-07-12 00:00:00+00:00,2018-07-12,2018-07-16 00:00:00+00:00,2018-07-16,10,14,SHORT,Market,Market," 6,228.81 "," 6,741.75 ", 0.72 , 0.66 ," 1,026.88 ", 941.66 , 941.66 ,-85.94 ,-8.4%,-0.10 ," 1,034.04 ", 92.38 , 0.09 
2018-07-20 00:00:00+00:00,2018-07-20 00:00:00+00:00,2018-07-20,2018-08-03 00:00:00+00:00,2018-08-03,4,18,LONG,Market,Market," 7,354.13 "," 7,434.39 ", 0.66 , 0.67 , 941.00 , 960.87 , 960.87 , 19.21 ,2.0%, 0.02 ," 1,034.04 ", 73.17 , 0.07 
2018-08-07 00:00:00+00:00,2018-08-07 00:00:00+00:00,2018-08-07,2018-08-24 00:00:00+00:00,2018-08-24,4,21,SHORT,Market,Market," 6,753.12 "," 6,719.96 ", 0.67 , 0.68 , 960.19 , 964.23 , 964.23 , 3.37 ,0.4%, 0.00 ," 1,034.04 ", 69.81 , 0.07 
2018-09-03 00:00:00+00:00,2018-09-03 00:00:00+00:00,2018-09-03,2018-09-06 00:00:00+00:00,2018-09-06,10,13,LONG,Market,Market," 7,260.06 "," 6,529.17 ", 0.67 , 0.54 , 963.56 , 769.01 , 769.01 ,-195.22 ,-20.3%,-0.34 ," 1,034.04 ", 265.03 , 0.26 
2018-09-07 00:00:00+00:00,2018-09-07 00:00:00+00:00,2018-09-07,2018-09-21 00:00:00+00:00,2018-09-21,1,15,SHORT,Market,Market," 6,467.07 "," 6,734.95 ", 0.54 , 0.52 , 768.47 , 736.13 , 736.13 ,-32.89 ,-4.3%,-0.05 ," 1,034.04 ", 297.91 , 0.29 
2018-10-03 00:00:00+00:00,2018-10-03 00:00:00+00:00,2018-10-03,2018-10-05 00:00:00+00:00,2018-10-05,12,14,SHORT,Market,Market," 6,502.59 "," 6,622.48 ", 0.52 , 0.51 , 735.61 , 721.54 , 721.54 ,-14.58 ,-2.0%,-0.02 ," 1,034.04 ", 312.50 , 0.30 
2018-10-11 00:00:00+00:00,2018-10-11 00:00:00+00:00,2018-10-11,2018-10-17 00:00:00+00:00,2018-10-17,6,12,SHORT,Market,Market," 6,256.24 "," 6,544.43 ", 0.51 , 0.48 , 721.04 , 687.34 , 687.34 ,-34.20 ,-4.7%,-0.05 ," 1,034.04 ", 346.70 , 0.34 
2018-10-19 00:00:00+00:00,2018-10-19 00:00:00+00:00,2018-10-19,2018-10-22 00:00:00+00:00,2018-10-22,2,5,SHORT,Market,Market," 6,465.41 "," 6,487.16 ", 0.48 , 0.48 , 686.86 , 684.07 , 684.07 ,-3.27 ,-0.5%,-0.00 ," 1,034.04 ", 349.97 , 0.34 
